```
HUAWEI,提供,大数据MapReduce 服务（MRS）
Apache 基金会,推出,Hadoop
Hadoop,是,开源分布式计算平台
Hadoop,解决,大数据问题
企业,部署,Hadoop系统
Hadoop系统,有,成本高的问题
Hadoop系统,有,周期长的问题
Hadoop系统,有,难运维的问题
Hadoop系统,有,不灵活的问题
华为云,提供,MRS
MRS,是,部署和管理 Hadoop 系统的服务
MRS,提供,一站式企业级大数据集群云服务
MRS,兼容,开源接口
MRS,结合,华为云计算
MRS,结合,存储优势
MRS,结合,大数据行业经验
MRS,提供,高性能的大数据平台
MRS,提供,低成本的大数据平台
MRS,提供,灵活易用的大数据平台
MRS,运行,Hadoop
MRS,运行,Spark
MRS,运行,HBase
MRS,运行,Kafka
MRS,运行,Storm
MRS,具备,定制开发的能力
MRS,帮助企业,构建海量数据信息处理系统
MRS,通过,海量信息数据实时分析
MRS,通过,海量信息数据非实时分析
MRS,发现,全新价值点
MRS,发现,企业商机
MRS,基于,鲲鹏处理器
MRS,进行,软硬件垂直优化
MRS,释放,硬件算力
MRS,实现,高性价比
MRS,支持,华为自研鲲鹏服务器
鲲鹏服务器,具备,多核高并发能力
MRS,提供,芯片级的全栈自主优化能力
MRS,使用,EulerOS
MRS,使用,华为JDK
MRS,使用,数据加速层
解决方案,成本下降,30%
实验目的,是,掌握MRS 服务的申请与使用
MapReduce 服务,步骤1,登录华为云网站
El 企业智能,中找到,MapReduce 服务
步骤2,点击,立即购买
立即购买,进入,购买集群页面
购买集群页面,配置,集群基本信息
集群基本信息,选择,自定义购买
当前区域,选择,区域
区域,选择,华东-上海二
集群名称,自定义,名称
集群名称,不允许,相同
集群版本,默认值,当前最新版本
集群类型,选择,混合集群
混合集群,支持,创建混合集群
混合集群,可以,部署分析和流式组件
混合集群,节省,管理节点成本
混合集群,减少,不同集群的通信成本
混合集群,适用,同时需要做离线数据分析和流处理任务的场景
组件选择,勾选,分析组件
组件选择,勾选,流式组件
分析组件,除,Presto
分析组件,除,Impala
分析组件,除,Kudu
外部数据源,不开启,
集群名称,是,mrs_hcia
集群版本,是,MRS 2.1.0
集群类型,包括,分析集群
集群类型,包括,流式集群
集群类型,包括,混合集群
分析组件,包括,Presto
Presto,是,开源、分布式SQL查询引擎
分析组件,包括,doopeH
doopeH,是,分布式数据处理框架
分析组件,包括,Spark
Spark,是,快速、通用的大数据处理引擎
分析组件,包括,HBase
HBase,是,可扩展、分布式数据库
HBase,支持,存储结构化数据
分析组件,包括,Hive
Hive,是,数据汇聚和即席查询的数据仓库
分析组件,包括,Hue
Hue,是,提供hadoopUl能力的工具
分析组件,包括,Loader
Loader,基于,Sqoop
分析组件,包括,Tez
Tez,是,支持有向无环图的分布式计算框架
分析组件,包括,Flink
Flink,是,分布式大数据处理引擎
分析组件,包括,Impala
Impala,是,处理大量数据的SQL查询引擎
分析组件,包括,Kudu
Kudu,是,列存储管理器
流式组件,包括,Kafka
Kafka,是,分布式消息发布订阅系统
流式组件,包括,Storm
Storm,是,分布式实时计算系统
流式组件,包括,Flume
Flume,是,分布式、高可用、高可靠的海量日志采集、聚合和传输系统
外部数据源,用于,存储元数据
Kerberos 认证,选择,不开启认证
Kerberos 认证,关闭时,用户可使用MRS 集群的所有功能
Kerberos 认证,开启时,普通用户无权限使用MRS集群的文件管理功能
Kerberos 认证,开启时,普通用户无权限使用,作业管理功能
Kerberos 认证,开启时,无法查看,Hadoop、Spark 的作业记录
Kerberos 认证,开启时,无法查看,集群资源使用情况
Kerberos 认证,如果需要使用集群更多功能,需要找MRS Manager 的管理员分配权限
用户名,默认为,admin 用户
admin 用户,是,MRS Manager 管理页面登录的用户
用户密码,读者,自行设置
确认密码,再次
